# Nmap 7.99 scan initiated Wed Apr 29 11:24:02 2026 as: /usr/lib/nmap/nmap --privileged -sS -o 3.0.txt 192.168.3.0/24
Warning: 192.168.3.11 giving up on port because retransmission cap hit (10).
Nmap scan report for 192.168.3.1
Host is up (0.10s latency).
Not shown: 685 closed tcp ports (reset)
PORT      STATE SERVICE
1/tcp     open  tcpmux
6/tcp     open  unknown
22/tcp    open  ssh
24/tcp    open  priv-mail
26/tcp    open  rsftp
30/tcp    open  unknown
37/tcp    open  time
79/tcp    open  finger
84/tcp    open  ctf
89/tcp    open  su-mit-tg
100/tcp   open  newacct
109/tcp   open  pop2
146/tcp   open  iso-tp0
161/tcp   open  snmp
163/tcp   open  cmip-man
280/tcp   open  http-mgmt
311/tcp   open  asip-webadmin
340/tcp   open  unknown
389/tcp   open  ldap
406/tcp   open  imsp
407/tcp   open  timbuktu
416/tcp   open  silverplatter
417/tcp   open  onmux
514/tcp   open  shell
545/tcp   open  ekshell
548/tcp   open  afp
616/tcp   open  sco-sysmgr
631/tcp   open  ipp
646/tcp   open  ldp
648/tcp   open  rrp
683/tcp   open  corba-iiop
687/tcp   open  asipregistry
720/tcp   open  unknown
765/tcp   open  webster
843/tcp   open  unknown
900/tcp   open  omginitialrefs
901/tcp   open  samba-swat
911/tcp   open  xact-backup
981/tcp   open  unknown
987/tcp   open  unknown
990/tcp   open  ftps
1000/tcp  open  cadlock
1009/tcp  open  unknown
1029/tcp  open  ms-lsa
1037/tcp  open  ams
1039/tcp  open  sbl
1044/tcp  open  dcutility
1045/tcp  open  fpitp
1047/tcp  open  neod1
1049/tcp  open  td-postman
1050/tcp  open  java-or-OTGfileshare
1051/tcp  open  optima-vnet
1055/tcp  open  ansyslmd
1060/tcp  open  polestar
1062/tcp  open  veracity
1065/tcp  open  syscomlan
1070/tcp  open  gmrupdateserv
1071/tcp  open  bsquare-voip
1075/tcp  open  rdrmshc
1081/tcp  open  pvuniwien
1083/tcp  open  ansoft-lm-1
1095/tcp  open  nicelink
1100/tcp  open  mctp
1104/tcp  open  xrl
1108/tcp  open  ratio-adp
1112/tcp  open  msql
1113/tcp  open  ltp-deepspace
1114/tcp  open  mini-sql
1121/tcp  open  rmpp
1124/tcp  open  hpvmmcontrol
1131/tcp  open  caspssl
1138/tcp  open  encrypted_admin
1145/tcp  open  x9-icue
1147/tcp  open  capioverlan
1152/tcp  open  winpoplanmess
1175/tcp  open  dossier
1185/tcp  open  catchpole
1187/tcp  open  alias
1198/tcp  open  cajo-discovery
1213/tcp  open  mpc-lifenet
1233/tcp  open  univ-appserver
1236/tcp  open  bvcontrol
1244/tcp  open  isbconference1
1271/tcp  open  excw
1334/tcp  open  writesrv
1417/tcp  open  timbuktu-srv1
1443/tcp  open  ies-lm
1455/tcp  open  esl-lm
1501/tcp  open  sas-3
1503/tcp  open  imtc-mcs
1524/tcp  open  ingreslock
1583/tcp  open  simbaexpress
1688/tcp  open  nsjtp-data
1700/tcp  open  mps-raft
1717/tcp  open  fj-hdnet
1718/tcp  open  h323gatedisc
1801/tcp  open  msmq
1862/tcp  open  mysql-cm-agent
1864/tcp  open  paradym-31
1900/tcp  open  upnp
1935/tcp  open  rtmp
1974/tcp  open  drp
1998/tcp  open  x25-svc-port
1999/tcp  open  tcp-id-port
2004/tcp  open  mailbox
2013/tcp  open  raid-am
2020/tcp  open  xinupageserver
2035/tcp  open  imsldoc
2038/tcp  open  objectmanager
2042/tcp  open  isis
2047/tcp  open  dls
2048/tcp  open  dls-monitor
2065/tcp  open  dlsrpn
2103/tcp  open  zephyr-clt
2105/tcp  open  eklogin
2111/tcp  open  kx
2119/tcp  open  gsigatekeeper
2135/tcp  open  gris
2144/tcp  open  lv-ffx
2160/tcp  open  apc-2160
2191/tcp  open  tvbus
2260/tcp  open  apc-2260
2301/tcp  open  compaqdiag
2383/tcp  open  ms-olap4
2393/tcp  open  ms-olap1
2401/tcp  open  cvspserver
2492/tcp  open  groove
2500/tcp  open  rtsserv
2601/tcp  open  zebra
2604/tcp  open  ospfd
2605/tcp  open  bgpd
2607/tcp  open  connection
2717/tcp  open  pn-requester
